,cola,mnli,model,mrpc,qnli,qqp,rte,sst2,stsb
0,56.52,34.17,../roberta/cola/roberta-base_lr1e-05,74.8,47.15,33.42,47.29,51.38,5.41
0,9.29,37.56,../roberta/sst2/roberta-base_lr1e-05,51.970000000000006,47.95,44.8,51.62,94.72,4.37
0,11.1,35.46,../roberta/mrpc/roberta-base_lr1e-05,87.99,60.84,62.01,47.29,50.46000000000001,57.60999999999999
0,0.0,32.37,../roberta/stsb/roberta-base_lr1e-05,75.17,58.540000000000006,33.62,47.29,50.92,86.36
0,0.2799999999999999,43.06,../roberta/qqp/roberta-base_lr1e-05,77.21000000000001,62.63999999999999,89.71000000000001,46.57,50.92,52.32
0,1.72,87.01,../roberta/mnli/roberta-base_lr1e-05,53.290000000000006,49.55,44.91,28.88,51.25999999999999,-24.9
0,18.04,38.76,../roberta/qnli/roberta-base_lr1e-05,74.96000000000001,91.71,34.33,47.29,55.16,-24.07
0,-2.12,34.27,../roberta/rte/roberta-base_lr1e-05,74.8,56.04,50.77,66.43,51.38,49.3
0,56.52,34.17,../roberta/cola/roberta-base_lr1e-05,74.8,47.15,33.42,47.29,51.38,5.41
0,9.29,37.56,../roberta/sst2/roberta-base_lr1e-05,51.970000000000006,47.95,44.8,51.62,94.72,4.37
0,11.1,35.46,../roberta/mrpc/roberta-base_lr1e-05,87.99,60.84,62.01,47.29,50.46000000000001,57.60999999999999
0,0.0,32.37,../roberta/stsb/roberta-base_lr1e-05,75.17,58.540000000000006,33.62,47.29,50.92,86.36
0,0.2799999999999999,43.06,../roberta/qqp/roberta-base_lr1e-05,77.21000000000001,62.63999999999999,89.71000000000001,46.57,50.92,52.32
0,1.72,87.01,../roberta/mnli/roberta-base_lr1e-05,53.290000000000006,49.55,44.91,28.88,51.25999999999999,-24.9
0,18.04,38.76,../roberta/qnli/roberta-base_lr1e-05,74.96000000000001,91.71,34.33,47.29,55.16,-24.07
0,-2.12,34.27,../roberta/rte/roberta-base_lr1e-05,74.8,56.04,50.77,66.43,51.38,49.3
0,56.52,34.17,../roberta/cola/roberta-base_lr1e-05,74.8,47.15,33.42,47.29,51.38,5.41
0,9.29,37.56,../roberta/sst2/roberta-base_lr1e-05,51.970000000000006,47.95,44.8,51.62,94.72,4.37
0,64.11,32.37,../../MergeLM/save_models/cola/roberta-large_lr1e-05,74.8,50.85,33.21,47.29,50.92,-7.37
0,-2.16,41.56,../../MergeLM/save_models/sst2/roberta-large_lr1e-05,71.43,46.150000000000006,41.13,48.38,95.99,-4.89
0,-0.2799999999999999,31.67,../../MergeLM/save_models/mrpc/roberta-large_lr1e-05,87.87,58.24,60.01,51.62,52.98,6.5
0,0.0,34.67,../../MergeLM/save_models/stsb/roberta-large_lr1e-05,55.17999999999999,52.55,41.06,48.38,50.92,90.33
0,4.77,39.76,../../MergeLM/save_models/qqp/roberta-large_lr1e-05,42.69,60.24,90.35,49.82,46.67,80.42
0,0.0,90.41,../../MergeLM/save_models/mnli/roberta-large_lr1e-05,72.24000000000001,47.35,49.32,67.86999999999999,50.92,46.2
0,-3.0,31.97,../../MergeLM/save_models/qnli/roberta-large_lr1e-05,75.84,94.21,56.93,51.99,50.92,-30.4
0,14.32,30.270000000000003,../../MergeLM/save_models/rte/roberta-large_lr1e-05,59.870000000000005,49.15,34.33,75.81,55.96,38.75
