,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,90.0,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,9.46,59.34,ties_merge,74.71,65.93,41.29,47.29,0.7,72.13000000000001,9.21
0,90.0,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,9.46,59.34,ties_merge,74.71,65.93,41.29,47.29,0.7,72.13000000000001,9.21
0,90.0,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,9.46,59.34,ties_merge,74.71,65.93,41.29,47.29,0.7,72.13000000000001,9.21
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,57.74,task_arithmetic_decompose,76.33,72.43,76.03,49.82,0.7,84.75,15.83
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.83,task_arithmetic,78.43,78.42,73.22999999999999,53.43,0.29,83.94,27.860000000000003
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.83,task_arithmetic,78.43,78.42,73.22999999999999,53.43,0.29,83.94,27.860000000000003
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.93,task_arithmetic_decompose,78.64,78.52,73.22999999999999,53.06999999999999,0.29,84.06,28.74
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.93,task_arithmetic_decompose,78.64,78.52,73.22999999999999,53.06999999999999,0.29,84.06,28.74
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-5.47,33.47,task_arithmetic_decompose,74.59,52.45,33.52,46.93,0.29,51.15,-0.2299999999999999
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-4.04,34.57,task_arithmetic_decompose,74.17,51.35,33.97,46.21,0.29,50.92,-5.67
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-6.890000000000001,32.87,task_arithmetic_decompose,74.98,51.45,33.62,46.57,0.4,50.8,-0.5499999999999999
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.77,33.57,task_arithmetic_decompose,74.59,50.74999999999999,33.62,46.57,0.5,50.92,1.4
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.02,32.07,task_arithmetic_decompose,74.8,51.35,33.62,48.38,0.6,50.92,-4.52
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-0.8500000000000001,33.37,task_arithmetic_decompose,74.8,52.25,33.62,48.010000000000005,0.7,50.92,-0.08
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-3.4799999999999995,34.77,task_arithmetic_decompose,75.17,49.55,33.47,46.57,0.2,50.8,2.82
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-0.98,36.36,task_arithmetic_decompose,74.38,52.15,33.52,46.93,0.3,50.8,-1.15
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.75,34.47,task_arithmetic_decompose,74.8,50.85,33.87,46.93,0.4,50.8,0.6799999999999999
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-0.1399999999999999,31.77,task_arithmetic_decompose,74.8,52.75,33.97,46.93,0.5,50.92,-4.42
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-0.18,34.07,task_arithmetic_decompose,74.8,52.75,33.62,47.65,0.6,50.92,-4.94
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,-5.96,32.77,task_arithmetic_decompose,74.8,51.74999999999999,33.57,47.29,0.7,50.8,4.82
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,59.040000000000006,task_arithmetic_decompose,76.99000000000001,71.83,55.49,44.77,0.2,71.22,-12.91
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,69.53,task_arithmetic_decompose,78.22,79.72,69.63000000000001,45.49,0.3,83.83,6.94
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,67.93,task_arithmetic_decompose,78.48,78.52,74.3,49.46,0.4,86.92999999999999,10.24
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,65.03,task_arithmetic_decompose,78.64999999999999,78.82000000000001,76.0,49.82,0.5,88.42,9.79
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,61.84,task_arithmetic_decompose,77.74,76.52,75.94,49.46,0.6,88.42,14.18
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,59.74,task_arithmetic_decompose,76.59,74.83,75.38,51.62,0.7,88.42,11.74
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,59.040000000000006,task_arithmetic_decompose,76.99000000000001,71.83,55.49,44.77,0.2,71.22,-12.91
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,32.37,task_arithmetic_decompose,74.8,51.24999999999999,33.62,47.29,0.1,50.92,4.24
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,32.37,task_arithmetic_decompose,74.8,51.24999999999999,33.62,47.29,0.1,50.92,4.26
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,32.37,task_arithmetic_decompose,74.8,51.24999999999999,33.62,47.29,0.1,50.92,4.26
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,32.37,task_arithmetic_decompose,74.8,51.24999999999999,33.62,47.29,0.1,50.92,4.34
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,32.27,task_arithmetic_decompose,74.8,51.74999999999999,33.62,47.29,0.1,50.92,5.16
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,33.07,task_arithmetic_decompose,75.84,55.04,33.62,47.29,0.1,51.15,20.47
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,35.56,task_arithmetic_decompose,76.18,56.24,35.15,47.29,0.1,52.41,30.630000000000003
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,35.56,task_arithmetic_decompose,76.18,56.34,35.15,47.29,0.1,52.41,30.71
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,35.36,task_arithmetic_decompose,76.0,56.24,35.15,47.29,0.1,52.41,30.380000000000003
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,34.57,task_arithmetic_decompose,75.84,52.85,34.17,47.29,0.15,51.72,14.19
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,34.57,task_arithmetic_decompose,75.84,52.85,34.17,47.29,0.15,51.72,14.22
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,34.57,task_arithmetic_decompose,75.84,52.85,34.17,47.29,0.15,51.72,14.22
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,34.67,task_arithmetic_decompose,75.84,53.05,34.510000000000005,47.29,0.15,51.83,14.39
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,35.36,task_arithmetic_decompose,75.82,53.85,36.56,47.29,0.15,52.64,15.89
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,45.35,task_arithmetic_decompose,75.38,61.24000000000001,41.010000000000005,47.29,0.15,58.830000000000005,31.41
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,49.35,task_arithmetic_decompose,75.2,63.34,48.17,46.93,0.15,62.73,21.57
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,49.35,task_arithmetic_decompose,75.2,63.13999999999999,48.17,47.29,0.15,62.61,21.31
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,49.45,task_arithmetic_decompose,75.2,63.54,47.35,47.29,0.15,62.61,21.92
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,43.96,task_arithmetic_decompose,75.1,59.440000000000005,45.64,47.29,0.2,61.12,21.69
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,43.96,task_arithmetic_decompose,75.1,59.540000000000006,45.64,47.29,0.2,61.12,21.68
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,43.96,task_arithmetic_decompose,75.1,59.540000000000006,45.64,47.29,0.2,61.12,21.68
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,44.56,task_arithmetic_decompose,75.1,59.64,45.93,47.29,0.2,61.24000000000001,21.54
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,46.650000000000006,task_arithmetic_decompose,75.22999999999999,61.040000000000006,45.93,47.29,0.2,64.11,18.06
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,59.040000000000006,task_arithmetic_decompose,76.99000000000001,71.83,55.49,44.77,0.2,71.22,-12.91
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,61.44,task_arithmetic_decompose,77.29,74.92999999999999,63.31,49.1,0.2,75.0,5.6000000000000005
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,61.44,task_arithmetic_decompose,77.29,74.92999999999999,63.31,49.46,0.2,75.0,5.81
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,62.03999999999999,task_arithmetic_decompose,77.31,74.63,63.31,48.38,0.2,74.77000000000001,5.140000000000001
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.2,-7.12
